evento,date,weekday,celebrazione,id_liturgia
2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),2022-04-24,Sunday,II domenica di Pasqua,C25-C
3° Domenica di Pasqua (Misericordias Domini),2022-05-01,Sunday,III domenica di Pasqua,C26-C
4° Domenica di Pasqua (Jubilate),2022-05-08,Sunday,IV domenica di Pasqua,C27-C
5° Domenica di Pasqua (Cantate),2022-05-15,Sunday,V domenica di Pasqua,C28-C
6° Domenica di Pasqua (Rogate - Vocem jocunditatis),2022-05-22,Sunday,VI domenica di Pasqua,C29-C
Ascensione di Gesù,2022-05-29,Sunday,Ascensione del Signore,C30-C
Pentecoste,2022-06-05,Sunday,Domenica di Pentecoste – Messa del giorno,C33-C
Solennità della Santissima Trinità,2022-06-12,Sunday,Solennità della SS Trinità,C34-C
Santissimo Corpo e Sangue di Cristo,2022-06-19,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35-C
Santissimo Cuore di Gesù,2022-06-24,Friday,Solennità del Sacratissimo Cuore di Gesù,C36-C
2° D.T.O.,2022-01-16,Sunday,II domenica del Tempo Ordinario,C37-C
3° D.T.O.,2022-01-23,Sunday,III domenica del Tempo Ordinario,C38-C
4° D.T.O.,2022-01-30,Sunday,IV domenica del Tempo Ordinario,C39-C
5° D.T.O.,2022-02-06,Sunday,V domenica del Tempo Ordinario,C40-C
6° D.T.O.,2022-02-13,Sunday,VI domenica del Tempo Ordinario,C41-C
7° D.T.O.,2022-02-20,Sunday,VII domenica del Tempo Ordinario,C42-C
8° D.T.O.,2022-02-27,Sunday,VIII domenica del Tempo Ordinario,C43-C
13° D.T.O.,2022-06-26,Sunday,XIII domenica del Tempo Ordinario,C48-C
14° D.T.O.,2022-07-03,Sunday,XIV domenica del Tempo Ordinario,C49-C
15° D.T.O.,2022-07-10,Sunday,XV domenica del Tempo Ordinario,C50-C
16° D.T.O.,2022-07-17,Sunday,XVI domenica del Tempo Ordinario,C51-C
17° D.T.O.,2022-07-24,Sunday,XVII domenica del Tempo Ordinario,C52-C
18° D.T.O.,2022-07-31,Sunday,XVIII domenica del Tempo Ordinario,C53-C
19° D.T.O.,2022-08-07,Sunday,XIX domenica del Tempo Ordinario,C54-C
20° D.T.O.,2022-08-14,Sunday,XX domenica del Tempo Ordinario,C55-C
21° D.T.O.,2022-08-21,Sunday,XXI domenica del Tempo Ordinario,C56-C
22° D.T.O.,2022-08-28,Sunday,XXII domenica del Tempo Ordinario,C57-C
23° D.T.O.,2022-09-04,Sunday,XXIII domenica del Tempo Ordinario,C58-C
24° D.T.O.,2022-09-11,Sunday,XXIV domenica del Tempo Ordinario,C59-C
25° D.T.O.,2022-09-18,Sunday,XXV domenica del Tempo Ordinario,C60-C
26° D.T.O.,2022-09-25,Sunday,XXVI domenica del Tempo Ordinario,C61-C
27° D.T.O.,2022-10-02,Sunday,XXVII domenica del Tempo Ordinario,C62-C
28° D.T.O.,2022-10-09,Sunday,XXVIII domenica del Tempo Ordinario,C63-C
29° D.T.O.,2022-10-16,Sunday,XXIX domenica del Tempo Ordinario,C64-C
30° D.T.O.,2022-10-23,Sunday,XXX domenica del Tempo Ordinario,C65-C
31° D.T.O.,2022-10-30,Sunday,XXXI domenica del Tempo Ordinario,C66-C
32° D.T.O.,2022-11-06,Sunday,XXXII domenica del Tempo Ordinario,C67-C
33° D.T.O.,2022-11-13,Sunday,XXXIII domenica del Tempo Ordinario,C68-C
34° D.T.O. - Solennità di Cristo Re,2022-11-20,Sunday,Solennità di nostro Signore Gesù Cristo Re dell’universo,C69-C
Presentazione del Signore (Candelora),2022-02-02,Wednesday,2 febbraio: Presentazione del Signore,C70-C
Natività di San Giovanni Battista,2022-06-24,Friday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72-C
Santi Pietro e Paolo Apostoli,2022-06-29,Wednesday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74-C
Trasfigurazione del Signore,2022-08-06,Saturday,6 agosto: Trasfigurazione del Signore,C75-C
Assunzione della Beata Vergine Maria,2022-08-15,Monday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77-C
Esaltazione della Santa Croce,2022-09-14,Wednesday,14 settembre: Esaltazione della Santa Croce,C78-C
Solennità di tutti i Santi,2022-11-01,Tuesday,1 novembre: Tutti i Santi,C79-C
Commemorazione dei defunti,2022-11-02,Wednesday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80-C
Commemorazione dei defunti,2022-11-02,Wednesday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81-C
Commemorazione dei defunti,2022-11-02,Wednesday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82-C
Dedicazione Basilica Lateranense,2022-11-09,Wednesday,9 novembre: Dedicazione della Basilica lateranense,C83-C
Immacolata Concezione,2022-12-08,Thursday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84-C
1° Domenica di Avvento,2023-12-03,Sunday,I domenica di Avvento,C1-A
2° Domenica di Avvento,2023-12-10,Sunday,II domenica di Avvento,C2-A
3° Domenica di Avvento - Gaudete,2023-12-17,Sunday,III domenica di Avvento,C3-A
4° Domenica di Avvento,2023-12-24,Sunday,IV domenica di Avvento,C4-A
Natale del Signore,2023-12-25,Monday,Natale del Signore – Messa del giorno,C8-A
Festa della Sacra Famiglia,2023-12-31,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9-A
Maria Santissima Madre di Dio,2023-01-01,Sunday,Solennità di Maria SS Madre di Dio,C10-A
Epifania del Signore,2023-01-06,Friday,Epifania del Signore,C12-A
Battesimo del Signore,2023-01-08,Sunday,Battesimo del Signore,C13-A
1° Domenica di Quaresima,2023-02-26,Sunday,I domenica di Quaresima,C14-A
2° Domenica di Quaresima,2023-03-05,Sunday,II domenica di Quaresima,C15-A
