anno,date,weekday,evento,tipo_evento
2021,2021-04-11,Sunday,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),Domenica
2021,2021-04-18,Sunday,3° Domenica di Pasqua (Misericordias Domini),Domenica
2021,2021-04-25,Sunday,4° Domenica di Pasqua (Jubilate),Domenica
2021,2021-05-01,Saturday,San Giuseppe Lavoratore,Memoria
2021,2021-05-02,Sunday,5° Domenica di Pasqua (Cantate),Domenica
2021,2021-05-09,Sunday,6° Domenica di Pasqua (Rogate - Vocem jocunditatis),Domenica
2021,2021-05-14,Friday,Inizio Novena di Pentecoste,Novena
2021,2021-05-16,Sunday,Ascensione di Gesù,Solennità
2021,2021-05-23,Sunday,Pentecoste,Solennità
2021,2021-05-30,Sunday,Solennità della Santissima Trinità,Solennità
2021,2021-05-31,Monday,Visitazione della Beata Vergine Maria,Festa
2021,2021-06-06,Sunday,Santissimo Corpo e Sangue di Cristo,Solennità
2021,2021-06-11,Friday,Santissimo Cuore di Gesù,Solennità
2021,2021-06-13,Sunday,11° D.T.O.,Domenica
2021,2021-06-20,Sunday,12° D.T.O.,Domenica
2021,2021-06-24,Thursday,Natività di San Giovanni Battista,Solennità
2021,2021-06-27,Sunday,13° D.T.O.,Domenica
2021,2021-06-29,Tuesday,Santi Pietro e Paolo Apostoli,Solennità
2021,2021-07-04,Sunday,14° D.T.O.,Domenica
2021,2021-07-11,Sunday,15° D.T.O.,Domenica
2021,2021-07-16,Friday,Beata Vergine Maria del Monte Carmelo,Memoria
2021,2021-07-18,Sunday,16° D.T.O.,Domenica
2021,2021-07-25,Sunday,San Giacomo,Festa
2021,2021-08-01,Sunday,18° D.T.O.,Domenica
2021,2021-08-06,Friday,Trasfigurazione del Signore,Festa
2021,2021-08-08,Sunday,19° D.T.O.,Domenica
2021,2021-08-15,Sunday,Assunzione della Beata Vergine Maria,Solennità
2021,2021-08-22,Sunday,21° D.T.O.,Domenica
2021,2021-08-29,Sunday,22° D.T.O.,Domenica
2021,2021-09-05,Sunday,23° D.T.O.,Domenica
2021,2021-09-08,Wednesday,Natività della Beata Vergine Maria,Festa
2021,2021-09-12,Sunday,Santissimo nome di Maria,Festa
2021,2021-09-14,Tuesday,Esaltazione della Santa Croce,Festa
2021,2021-09-19,Sunday,25° D.T.O.,Domenica
2021,2021-09-26,Sunday,26° D.T.O.,Domenica
2021,2021-10-03,Sunday,27° D.T.O.,Domenica
2021,2021-10-07,Thursday,Madonna del Rosario,Memoria
2021,2021-10-10,Sunday,28° D.T.O.,Domenica
2021,2021-10-17,Sunday,29° D.T.O.,Domenica
2021,2021-10-24,Sunday,30° D.T.O.,Domenica
2021,2021-10-24,Sunday,Inizio Novena dei morti,Novena
2021,2021-10-31,Sunday,31° D.T.O.,Domenica
2021,2021-11-01,Monday,Solennità di tutti i Santi,Solennità
2021,2021-11-02,Tuesday,Commemorazione dei defunti,Comm.
2021,2021-11-07,Sunday,32° D.T.O.,Domenica
2021,2021-11-09,Tuesday,Dedicazione Basilica Lateranense,Festa
2021,2021-11-14,Sunday,33° D.T.O.,Domenica
2021,2021-11-21,Sunday,34° D.T.O. - Solennità di Cristo Re,Solennità
2021,2021-11-21,Sunday,Presentazione della Beata Vergine Maria,Memoria
2021,2021-11-22,Monday,Santa Cecilia patrona musica,Memoria
2021,2021-11-28,Sunday,1° Domenica di Avvento,Domenica
2021,2021-11-29,Monday,Inizio Novena all'immacolata,Novena
2021,2021-12-05,Sunday,2° Domenica di Avvento,Domenica
2021,2021-12-08,Wednesday,Immacolata Concezione,Solennità
2021,2021-12-10,Friday,Madonna di Loreto,Memoria
2021,2021-12-12,Sunday,3° Domenica di Avvento - Gaudete,Domenica
2021,2021-12-13,Monday,Santa Lucia,Memoria
2021,2021-12-16,Thursday,Inizio Novena di Natale,Novena
2021,2021-12-19,Sunday,4° Domenica di Avvento,Domenica
2021,2021-12-25,Saturday,Natale del Signore,Solennità
2021,2021-12-26,Sunday,Santo Stefano,Festa
2021,2021-12-26,Sunday,Festa della Sacra Famiglia,Festa
2021,2021-12-31,Friday,Messa di Ringraziamento,Feria
2022,2022-01-01,Saturday,Maria Santissima Madre di Dio,Solennità
2022,2022-01-01,Saturday,Giornata mondiale della pace,Festa
2022,2022-01-03,Monday,Santissimo nome di Gesù,Memoria
2022,2022-01-06,Thursday,Epifania del Signore,Festa
2022,2022-01-09,Sunday,Battesimo del Signore,Festa
2022,2022-01-16,Sunday,2° D.T.O.,Domenica
2022,2022-01-23,Sunday,3° D.T.O.,Domenica
2022,2022-01-25,Tuesday,Conversione di San Paolo apostolo,Solennità
2022,2022-01-30,Sunday,4° D.T.O.,Domenica
2022,2022-02-02,Wednesday,Presentazione del Signore (Candelora),Festa
2022,2022-02-06,Sunday,5° D.T.O.,Domenica
2022,2022-02-11,Friday,Madonna di Lourdes,Feria
2022,2022-02-13,Sunday,6° D.T.O.,Domenica
2022,2022-02-20,Sunday,7° D.T.O.,Domenica
2022,2022-02-22,Tuesday,Cattedra di San Pietro Apostolo,Festa
2022,2022-02-27,Sunday,8° D.T.O.,Domenica
2022,2022-03-02,Wednesday,Mercoledì delle ceneri,Solennità
2022,2022-03-06,Sunday,1° Domenica di Quaresima,Domenica
2022,2022-03-13,Sunday,2° Domenica di Quaresima,Domenica
2022,2022-03-19,Saturday,Solennità di San Giuseppe,Solennità
2022,2022-03-20,Sunday,3° Domenica di Quaresima,Domenica
2022,2022-03-25,Friday,Festa dell'Annunciazione,Festa
2022,2022-03-27,Sunday,Domenica Laetare,Domenica
2022,2022-04-03,Sunday,5° Domenica di Quaresima,Domenica
2022,2022-04-10,Sunday,Domenica delle Palme,Domenica
2022,2022-04-11,Monday,Lunedì della settimana Santa,Feria
2022,2022-04-12,Tuesday,Martedì della settimana Santa,Feria
2022,2022-04-13,Wednesday,Mercoledì della settimana Santa,Feria
2022,2022-04-14,Thursday,Giovedì Santo (Messa del Crisma),Solennità
2022,2022-04-14,Thursday,Giovedì Santo (In Cena Domini),Solennità
2022,2022-04-15,Friday,Venerdì Santo (Passione del Signore),Solennità
2022,2022-04-15,Friday,Inizio Novena alla Divina Misericordia,Novena
2022,2022-04-16,Saturday,Sabato Santo,Solennità
2022,2022-04-17,Sunday,Pasqua - Risurrezione del Signore,Solennità
2022,2022-04-18,Monday,Lunedì dell'Angelo,Feria
2022,2022-04-24,Sunday,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),Domenica
2022,2022-05-01,Sunday,3° Domenica di Pasqua (Misericordias Domini),Domenica
2022,2022-05-01,Sunday,San Giuseppe Lavoratore,Memoria
2022,2022-05-08,Sunday,4° Domenica di Pasqua (Jubilate),Domenica
2022,2022-05-15,Sunday,5° Domenica di Pasqua (Cantate),Domenica
2022,2022-05-22,Sunday,6° Domenica di Pasqua (Rogate - Vocem jocunditatis),Domenica
2022,2022-05-27,Friday,Inizio Novena di Pentecoste,Novena
2022,2022-05-29,Sunday,Ascensione di Gesù,Solennità
2022,2022-05-31,Tuesday,Visitazione della Beata Vergine Maria,Festa
2022,2022-06-05,Sunday,Pentecoste,Solennità
2022,2022-06-12,Sunday,Solennità della Santissima Trinità,Solennità
2022,2022-06-19,Sunday,Santissimo Corpo e Sangue di Cristo,Solennità
2022,2022-06-24,Friday,Natività di San Giovanni Battista,Solennità
2022,2022-06-24,Friday,Santissimo Cuore di Gesù,Solennità
2022,2022-06-26,Sunday,13° D.T.O.,Domenica
2022,2022-06-29,Wednesday,Santi Pietro e Paolo Apostoli,Solennità
2022,2022-07-03,Sunday,14° D.T.O.,Domenica
2022,2022-07-10,Sunday,15° D.T.O.,Domenica
2022,2022-07-16,Saturday,Beata Vergine Maria del Monte Carmelo,Memoria
2022,2022-07-17,Sunday,16° D.T.O.,Domenica
2022,2022-07-24,Sunday,17° D.T.O.,Domenica
2022,2022-07-25,Monday,San Giacomo,Festa
2022,2022-07-31,Sunday,18° D.T.O.,Domenica
2022,2022-08-06,Saturday,Trasfigurazione del Signore,Festa
2022,2022-08-07,Sunday,19° D.T.O.,Domenica
2022,2022-08-14,Sunday,20° D.T.O.,Domenica
2022,2022-08-15,Monday,Assunzione della Beata Vergine Maria,Solennità
2022,2022-08-21,Sunday,21° D.T.O.,Domenica
2022,2022-08-28,Sunday,22° D.T.O.,Domenica
2022,2022-09-04,Sunday,23° D.T.O.,Domenica
2022,2022-09-08,Thursday,Natività della Beata Vergine Maria,Festa
2022,2022-09-11,Sunday,24° D.T.O.,Domenica
2022,2022-09-12,Monday,Santissimo nome di Maria,Festa
2022,2022-09-14,Wednesday,Esaltazione della Santa Croce,Festa
2022,2022-09-18,Sunday,25° D.T.O.,Domenica
2022,2022-09-25,Sunday,26° D.T.O.,Domenica
2022,2022-10-02,Sunday,27° D.T.O.,Domenica
2022,2022-10-07,Friday,Madonna del Rosario,Memoria
2022,2022-10-09,Sunday,28° D.T.O.,Domenica
2022,2022-10-16,Sunday,29° D.T.O.,Domenica
2022,2022-10-23,Sunday,30° D.T.O.,Domenica
2022,2022-10-24,Monday,Inizio Novena dei morti,Novena
2022,2022-10-30,Sunday,31° D.T.O.,Domenica
2022,2022-11-01,Tuesday,Solennità di tutti i Santi,Solennità
2022,2022-11-02,Wednesday,Commemorazione dei defunti,Comm.
2022,2022-11-06,Sunday,32° D.T.O.,Domenica
2022,2022-11-09,Wednesday,Dedicazione Basilica Lateranense,Festa
2022,2022-11-13,Sunday,33° D.T.O.,Domenica
2022,2022-11-20,Sunday,34° D.T.O. - Solennità di Cristo Re,Solennità
2022,2022-11-21,Monday,Presentazione della Beata Vergine Maria,Memoria
2022,2022-11-22,Tuesday,Santa Cecilia patrona musica,Memoria
2022,2022-11-27,Sunday,1° Domenica di Avvento,Domenica
2022,2022-11-29,Tuesday,Inizio Novena all'immacolata,Novena
2022,2022-12-04,Sunday,2° Domenica di Avvento,Domenica
2022,2022-12-08,Thursday,Immacolata Concezione,Solennità
2022,2022-12-10,Saturday,Madonna di Loreto,Memoria
2022,2022-12-11,Sunday,3° Domenica di Avvento - Gaudete,Domenica
2022,2022-12-13,Tuesday,Santa Lucia,Memoria
2022,2022-12-16,Friday,Inizio Novena di Natale,Novena
2022,2022-12-18,Sunday,4° Domenica di Avvento,Domenica
2022,2022-12-25,Sunday,Natale del Signore,Solennità
2022,2022-12-26,Monday,Santo Stefano,Festa
2022,2022-12-30,Friday,Festa della Sacra Famiglia,Festa
2022,2022-12-31,Saturday,Messa di Ringraziamento,Feria
2023,2023-01-01,Sunday,Maria Santissima Madre di Dio,Solennità
2023,2023-01-01,Sunday,Giornata mondiale della pace,Festa
2023,2023-01-03,Tuesday,Santissimo nome di Gesù,Memoria
2023,2023-01-06,Friday,Epifania del Signore,Festa
2023,2023-01-08,Sunday,Battesimo del Signore,Festa
2023,2023-01-15,Sunday,2° D.T.O.,Domenica
2023,2023-01-22,Sunday,3° D.T.O.,Domenica
2023,2023-01-25,Wednesday,Conversione di San Paolo apostolo,Solennità
2023,2023-01-29,Sunday,4° D.T.O.,Domenica
2023,2023-02-02,Thursday,Presentazione del Signore (Candelora),Festa
2023,2023-02-05,Sunday,5° D.T.O.,Domenica
2023,2023-02-11,Saturday,Madonna di Lourdes,Feria
2023,2023-02-12,Sunday,6° D.T.O.,Domenica
2023,2023-02-19,Sunday,7° D.T.O.,Domenica
2023,2023-02-22,Wednesday,Mercoledì delle ceneri,Solennità
2023,2023-02-22,Wednesday,Cattedra di San Pietro Apostolo,Festa
2023,2023-02-26,Sunday,1° Domenica di Quaresima,Domenica
2023,2023-03-05,Sunday,2° Domenica di Quaresima,Domenica
2023,2023-03-12,Sunday,3° Domenica di Quaresima,Domenica
2023,2023-03-19,Sunday,Domenica Laetare,Domenica
2023,2023-03-20,Monday,Solennità di San Giuseppe,Solennità
2023,2023-03-25,Saturday,Festa dell'Annunciazione,Festa
2023,2023-03-26,Sunday,5° Domenica di Quaresima,Domenica
2023,2023-04-02,Sunday,Domenica delle Palme,Domenica
2023,2023-04-03,Monday,Lunedì della settimana Santa,Feria
2023,2023-04-04,Tuesday,Martedì della settimana Santa,Feria
2023,2023-04-05,Wednesday,Mercoledì della settimana Santa,Feria
2023,2023-04-06,Thursday,Giovedì Santo (Messa del Crisma),Solennità
2023,2023-04-06,Thursday,Giovedì Santo (In Cena Domini),Solennità
2023,2023-04-07,Friday,Venerdì Santo (Passione del Signore),Solennità
2023,2023-04-07,Friday,Inizio Novena alla Divina Misericordia,Novena
2023,2023-04-08,Saturday,Sabato Santo,Solennità
2023,2023-04-09,Sunday,Pasqua - Risurrezione del Signore,Solennità
2023,2023-04-10,Monday,Lunedì dell'Angelo,Feria
2023,2023-04-16,Sunday,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),Domenica
2023,2023-04-23,Sunday,3° Domenica di Pasqua (Misericordias Domini),Domenica
2023,2023-04-30,Sunday,4° Domenica di Pasqua (Jubilate),Domenica
2023,2023-05-01,Monday,San Giuseppe Lavoratore,Memoria
