anno,evento,date,weekday,celebrazione,id_celebrazione,ciclo_domenicale,id_liturgia
2021,Pasqua - Risurrezione del Signore,2021-04-04,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24,B,C24-B
2021,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),2021-04-11,Sunday,II domenica di Pasqua,C25,B,C25-B
2021,3° Domenica di Pasqua (Misericordias Domini),2021-04-18,Sunday,III domenica di Pasqua,C26,B,C26-B
2021,4° Domenica di Pasqua (Jubilate),2021-04-25,Sunday,IV domenica di Pasqua,C27,B,C27-B
2021,5° Domenica di Pasqua (Cantate),2021-05-02,Sunday,V domenica di Pasqua,C28,B,C28-B
2021,6° Domenica di Pasqua (Rogate - Vocem jocunditatis),2021-05-09,Sunday,VI domenica di Pasqua,C29,B,C29-B
2021,Ascensione di Gesù,2021-05-16,Sunday,Ascensione del Signore,C30,B,C30-B
2021,Pentecoste,2021-05-23,Sunday,Domenica di Pentecoste – Messa del giorno,C33,B,C33-B
2021,Solennità della Santissima Trinità,2021-05-30,Sunday,Solennità della SS Trinità,C34,B,C34-B
2021,Santissimo Corpo e Sangue di Cristo,2021-06-06,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35,B,C35-B
2021,Santissimo Cuore di Gesù,2021-06-11,Friday,Solennità del Sacratissimo Cuore di Gesù,C36,B,C36-B
2021,2° D.T.O.,2021-01-17,Sunday,II domenica del Tempo Ordinario,C37,B,C37-B
2021,3° D.T.O.,2021-01-24,Sunday,III domenica del Tempo Ordinario,C38,B,C38-B
2021,4° D.T.O.,2021-01-31,Sunday,IV domenica del Tempo Ordinario,C39,B,C39-B
2021,5° D.T.O.,2021-02-07,Sunday,V domenica del Tempo Ordinario,C40,B,C40-B
2021,6° D.T.O.,2021-02-14,Sunday,VI domenica del Tempo Ordinario,C41,B,C41-B
2021,11° D.T.O.,2021-06-13,Sunday,XI domenica del Tempo Ordinario,C46,B,C46-B
2021,12° D.T.O.,2021-06-20,Sunday,XII domenica del Tempo Ordinario,C47,B,C47-B
2021,13° D.T.O.,2021-06-27,Sunday,XIII domenica del Tempo Ordinario,C48,B,C48-B
2021,14° D.T.O.,2021-07-04,Sunday,XIV domenica del Tempo Ordinario,C49,B,C49-B
2021,15° D.T.O.,2021-07-11,Sunday,XV domenica del Tempo Ordinario,C50,B,C50-B
2021,16° D.T.O.,2021-07-18,Sunday,XVI domenica del Tempo Ordinario,C51,B,C51-B
2021,17° D.T.O.,2021-07-25,Sunday,XVII domenica del Tempo Ordinario,C52,B,C52-B
2021,18° D.T.O.,2021-08-01,Sunday,XVIII domenica del Tempo Ordinario,C53,B,C53-B
2021,19° D.T.O.,2021-08-08,Sunday,XIX domenica del Tempo Ordinario,C54,B,C54-B
2021,21° D.T.O.,2021-08-22,Sunday,XXI domenica del Tempo Ordinario,C56,B,C56-B
2021,22° D.T.O.,2021-08-29,Sunday,XXII domenica del Tempo Ordinario,C57,B,C57-B
2021,23° D.T.O.,2021-09-05,Sunday,XXIII domenica del Tempo Ordinario,C58,B,C58-B
2021,24° D.T.O.,2021-09-12,Sunday,XXIV domenica del Tempo Ordinario,C59,B,C59-B
2021,25° D.T.O.,2021-09-19,Sunday,XXV domenica del Tempo Ordinario,C60,B,C60-B
2021,26° D.T.O.,2021-09-26,Sunday,XXVI domenica del Tempo Ordinario,C61,B,C61-B
2021,27° D.T.O.,2021-10-03,Sunday,XXVII domenica del Tempo Ordinario,C62,B,C62-B
2021,28° D.T.O.,2021-10-10,Sunday,XXVIII domenica del Tempo Ordinario,C63,B,C63-B
2021,29° D.T.O.,2021-10-17,Sunday,XXIX domenica del Tempo Ordinario,C64,B,C64-B
2021,30° D.T.O.,2021-10-24,Sunday,XXX domenica del Tempo Ordinario,C65,B,C65-B
2021,31° D.T.O.,2021-10-31,Sunday,XXXI domenica del Tempo Ordinario,C66,B,C66-B
2021,32° D.T.O.,2021-11-07,Sunday,XXXII domenica del Tempo Ordinario,C67,B,C67-B
2021,33° D.T.O.,2021-11-14,Sunday,XXXIII domenica del Tempo Ordinario,C68,B,C68-B
2021,34° D.T.O. - Solennità di Cristo Re,2021-11-21,Sunday,Solennità di nostro Signore Gesù Cristo Re dell’universo,C69,B,C69-B
2021,Presentazione del Signore (Candelora),2021-02-02,Tuesday,2 febbraio: Presentazione del Signore,C70,B,C70-B
2021,Natività di San Giovanni Battista,2021-06-24,Thursday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72,B,C72-B
2021,Santi Pietro e Paolo Apostoli,2021-06-29,Tuesday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74,B,C74-B
2021,Trasfigurazione del Signore,2021-08-06,Friday,6 agosto: Trasfigurazione del Signore,C75,B,C75-B
