testo,pagina
"Il bambino cresceva e si fortificava, pieno di sapienza, e la Parola del Signore. Forma breve: Il bambino cresceva pieno di sapienza. Dal Vangelo secondo Luca 2, 22.39-40 Quando furono compiuti i giorni della loro puQuando ebbero adempiuto ogni cosa secondo la legge del Signore, fecero ritorno in Galilea, alla loro città Parola del Signore.",70
"SOLENNITÀ DI MARIA SANTISSIMA PRIMA LETTURA Dal libro dei Numeri 6, 22-27 Il Signore parlò a Mosè e disse: «Parla ad Aronne e ai Ti benedica il Signore Così porranno il mio nome sugli Israeliti e io li benedirò». Parola di Dio.",71
"SALMO RESPONSORIALE Dio abbia pietà di noi e ci benedica. Dio abbia pietà di noi e ci benedica, Gioiscano le nazioni e si rallegrino, Ti lodino i popoli, o Dio,",72
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Gàlati 4, 4-7 Fratelli, quando venne la pienezza del tempo, Dio perché ricevessimo l’adozione a figli. E che voi siete figli lo prova il fatto che Dio mandò nei nostri Parola di Dio. CANTO AL VANGELO Eb 1, 1-2 Alleluia, alleluia. Molte volte e in diversi modi nei tempi antichi Alleluia.",75
"VANGELO Dal Vangelo secondo Luca 2, 16-21 In quel tempo, [i pastori] andarono, senza induTutti quelli che udivano si stupirono delle cose dette loro dai I pastori se ne tornarono, glorificando e lodando Dio per tutQuando furono compiuti gli otto giorni prescritti per la cirParola del Signore.",76
"II DOMENICA PRIMA LETTURA Dal libro del Siràcide 24, 1-4.12-16 (NV) [gr. 24, 1-2.8-12] La sapienza fa il proprio elogio, Nell’assemblea dell’Altissimo apre la bocca, «Allora il creatore dell’universo mi diede un ordine, Prima dei secoli, fin dal principio, egli mi ha creata,",77
"Nella città che egli ama mi ha fatto abitare Parola di Dio. SALMO RESPONSORIALE Il Verbo si è fatto carne e ha posto la sua dimora in mezzo a noi. Celebra il Signore, Gerusalemme, Egli mette pace nei tuoi confini Annuncia a Giacobbe la sua parola,",78
"SECONDA LETTURA Dalla lettera di san Paolo apostolo agli Efesìni 1, 3-6.15-18 Benedetto Dio, Padre del Signore nostro Gesù Cristo, In lui ci ha scelti prima della creazione del mondo Perciò anch’io [Paolo], avendo avuto notizia della vostra fede Parola di Dio.",79
"CANTO AL VANGELO Alleluia, alleluia. Gloria a te, o Cristo, annunciato a tutte le genti; Alleluia. VANGELO Il Verbo si fece carne Dal Vangelo secondo Giovanni 1, 1-18 In principio era il Verbo, Egli era, in principio, presso Dio: e senza di lui nulla è stato fatto di ciò che esiste. In lui era la vita",80
"Venne un uomo mandato da Dio: Veniva nel mondo la luce vera, A quanti però lo hanno accolto E il Verbo si fece carne Giovanni gli dà testimonianza e proclama:",81
"Colui che viene dopo di me Dalla sua pienezza Dio, nessuno lo ha mai visto: Parola del Signore. Forma breve: Il Verbo si fece carne Dal Vangelo secondo Giovanni 1, 1-5.9-14 In principio era il Verbo, Egli era, in principio, presso Dio: e senza di lui nulla è stato fatto di ciò che esiste.",82
"In lui era la vita Veniva nel mondo la luce vera, A quanti però lo hanno accolto E il Verbo si fece carne Parola del Signore.",83
"EPIFANIA PRIMA LETTURA Dal libro del profeta Isaìa 60, 1-6 À lzati, rivestiti di luce, perché viene la tua luce, nebbia fitta avvolge i popoli; Cammineranno le genti alla tua luce, Allora guarderai e sarai raggiante,",84
"tutti verranno da Saba, portando oro e incenso Parola di Dio. SALMO RESPONSORIALE Ti adoreranno, Signore, tutti i popoli della terra. O Dio, affida al re il tuo diritto, Nei suoi giorni fiorisca il giusto I re di Tarsis e delle isole portino tributi, Perché egli libererà il misero che invoca",85
