date,evento,weekday,celebrazione,id_liturgia,anno,liturgia1,liturgia2
2019-12-08,Immacolata Concezione,Sunday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84-C,2019,http://www.lachiesa.it/calendario/Detailed/20191208.shtml,https://liturgia.silvestrini.org/letture/2019-12-08.html
2019-12-08,2° Domenica di Avvento,Sunday,II domenica di Avvento,C2-C,2019,http://www.lachiesa.it/calendario/Detailed/20191208.shtml,https://liturgia.silvestrini.org/letture/2019-12-08.html
2019-12-08,Immacolata Concezione,Sunday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84-C,2019,http://www.lachiesa.it/calendario/Detailed/20191208.shtml,https://liturgia.silvestrini.org/letture/2019-12-08.html
2019-12-15,3° Domenica di Avvento - Gaudete,Sunday,III domenica di Avvento,C3-C,2019,http://www.lachiesa.it/calendario/Detailed/20191215.shtml,https://liturgia.silvestrini.org/letture/2019-12-15.html
2019-12-22,4° Domenica di Avvento,Sunday,IV domenica di Avvento,C4-C,2019,http://www.lachiesa.it/calendario/Detailed/20191222.shtml,https://liturgia.silvestrini.org/letture/2019-12-22.html
2019-12-25,Natale del Signore,Wednesday,Natale del Signore – Messa del giorno,C8-C,2019,http://www.lachiesa.it/calendario/Detailed/20191225.shtml,https://liturgia.silvestrini.org/letture/2019-12-25.html
2019-12-29,Festa della Sacra Famiglia,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9-C,2019,http://www.lachiesa.it/calendario/Detailed/20191229.shtml,https://liturgia.silvestrini.org/letture/2019-12-29.html
2020-01-01,Maria Santissima Madre di Dio,Wednesday,Solennità di Maria SS Madre di Dio,C10-A,2020,http://www.lachiesa.it/calendario/Detailed/20200101.shtml,https://liturgia.silvestrini.org/letture/2020-01-01.html
2020-01-06,Epifania del Signore,Monday,Epifania del Signore,C12-A,2020,http://www.lachiesa.it/calendario/Detailed/20200106.shtml,https://liturgia.silvestrini.org/letture/2020-01-06.html
2020-01-12,Battesimo del Signore,Sunday,Battesimo del Signore,C13-A,2020,http://www.lachiesa.it/calendario/Detailed/20200112.shtml,https://liturgia.silvestrini.org/letture/2020-01-12.html
2020-01-19,2° D.T.O.,Sunday,II domenica del Tempo Ordinario,C37-A,2020,http://www.lachiesa.it/calendario/Detailed/20200119.shtml,https://liturgia.silvestrini.org/letture/2020-01-19.html
2020-01-26,3° D.T.O.,Sunday,III domenica del Tempo Ordinario,C38-A,2020,http://www.lachiesa.it/calendario/Detailed/20200126.shtml,https://liturgia.silvestrini.org/letture/2020-01-26.html
2020-02-02,Presentazione del Signore (Candelora),Sunday,2 febbraio: Presentazione del Signore,C70-A,2020,http://www.lachiesa.it/calendario/Detailed/20200202.shtml,https://liturgia.silvestrini.org/letture/2020-02-02.html
2020-02-09,5° D.T.O.,Sunday,V domenica del Tempo Ordinario,C40-A,2020,http://www.lachiesa.it/calendario/Detailed/20200209.shtml,https://liturgia.silvestrini.org/letture/2020-02-09.html
2020-02-16,6° D.T.O.,Sunday,VI domenica del Tempo Ordinario,C41-A,2020,http://www.lachiesa.it/calendario/Detailed/20200216.shtml,https://liturgia.silvestrini.org/letture/2020-02-16.html
2020-02-23,7° D.T.O.,Sunday,VII domenica del Tempo Ordinario,C42-A,2020,http://www.lachiesa.it/calendario/Detailed/20200223.shtml,https://liturgia.silvestrini.org/letture/2020-02-23.html
2020-03-01,1° Domenica di Quaresima,Sunday,I domenica di Quaresima,C14-A,2020,http://www.lachiesa.it/calendario/Detailed/20200301.shtml,https://liturgia.silvestrini.org/letture/2020-03-01.html
2020-03-08,2° Domenica di Quaresima,Sunday,II domenica di Quaresima,C15-A,2020,http://www.lachiesa.it/calendario/Detailed/20200308.shtml,https://liturgia.silvestrini.org/letture/2020-03-08.html
2020-03-15,3° Domenica di Quaresima,Sunday,III domenica di Quaresima,C16-A,2020,http://www.lachiesa.it/calendario/Detailed/20200315.shtml,https://liturgia.silvestrini.org/letture/2020-03-15.html
2020-03-22,Domenica Laetare,Sunday,IV domenica di Quaresima,C17-A,2020,http://www.lachiesa.it/calendario/Detailed/20200322.shtml,https://liturgia.silvestrini.org/letture/2020-03-22.html
2020-03-29,5° Domenica di Quaresima,Sunday,V domenica di Quaresima,C18-A,2020,http://www.lachiesa.it/calendario/Detailed/20200329.shtml,https://liturgia.silvestrini.org/letture/2020-03-29.html
2020-04-05,Domenica delle Palme,Sunday,Domenica delle Palme: Passione del Signore,C19-A,2020,http://www.lachiesa.it/calendario/Detailed/20200405.shtml,https://liturgia.silvestrini.org/letture/2020-04-05.html
2020-04-09,Giovedì Santo (Messa del Crisma),Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20-A,2020,http://www.lachiesa.it/calendario/Detailed/20200409.shtml,https://liturgia.silvestrini.org/letture/2020-04-09.html
2020-04-09,Giovedì Santo (In Cena Domini),Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21-A,2020,http://www.lachiesa.it/calendario/Detailed/20200409.shtml,https://liturgia.silvestrini.org/letture/2020-04-09.html
2020-04-09,Giovedì Santo (Messa del Crisma),Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20-A,2020,http://www.lachiesa.it/calendario/Detailed/20200409.shtml,https://liturgia.silvestrini.org/letture/2020-04-09.html
2020-04-09,Giovedì Santo (In Cena Domini),Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21-A,2020,http://www.lachiesa.it/calendario/Detailed/20200409.shtml,https://liturgia.silvestrini.org/letture/2020-04-09.html
2020-04-10,Venerdì Santo (Passione del Signore),Friday,Venerdì Santo «Passione del Signore»,C22-A,2020,http://www.lachiesa.it/calendario/Detailed/20200410.shtml,https://liturgia.silvestrini.org/letture/2020-04-10.html
2020-04-10,Venerdì Santo (Passione del Signore),Friday,Venerdì Santo «Passione del Signore»,C22-A,2020,null,null
2020-04-12,Pasqua - Risurrezione del Signore,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24-A,2020,http://www.lachiesa.it/calendario/Detailed/20200412.shtml,https://liturgia.silvestrini.org/letture/2020-04-12.html
2020-04-19,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),Sunday,II domenica di Pasqua,C25-A,2020,http://www.lachiesa.it/calendario/Detailed/20200419.shtml,https://liturgia.silvestrini.org/letture/2020-04-19.html
2020-04-26,3° Domenica di Pasqua (Misericordias Domini),Sunday,III domenica di Pasqua,C26-A,2020,http://www.lachiesa.it/calendario/Detailed/20200426.shtml,https://liturgia.silvestrini.org/letture/2020-04-26.html
2020-05-03,4° Domenica di Pasqua (Jubilate),Sunday,IV domenica di Pasqua,C27-A,2020,http://www.lachiesa.it/calendario/Detailed/20200503.shtml,https://liturgia.silvestrini.org/letture/2020-05-03.html
2020-05-10,5° Domenica di Pasqua (Cantate),Sunday,V domenica di Pasqua,C28-A,2020,http://www.lachiesa.it/calendario/Detailed/20200510.shtml,https://liturgia.silvestrini.org/letture/2020-05-10.html
2020-05-17,6° Domenica di Pasqua (Rogate - Vocem jocunditatis),Sunday,VI domenica di Pasqua,C29-A,2020,http://www.lachiesa.it/calendario/Detailed/20200517.shtml,https://liturgia.silvestrini.org/letture/2020-05-17.html
2020-05-24,Ascensione di Gesù,Sunday,Ascensione del Signore,C30-A,2020,http://www.lachiesa.it/calendario/Detailed/20200524.shtml,https://liturgia.silvestrini.org/letture/2020-05-24.html
2020-05-31,Pentecoste,Sunday,Domenica di Pentecoste – Messa del giorno,C33-A,2020,http://www.lachiesa.it/calendario/Detailed/20200531.shtml,https://liturgia.silvestrini.org/letture/2020-05-31.html
2020-06-07,Solennità della Santissima Trinità,Sunday,Solennità della SS Trinità,C34-A,2020,http://www.lachiesa.it/calendario/Detailed/20200607.shtml,https://liturgia.silvestrini.org/letture/2020-06-07.html
2020-06-14,Santissimo Corpo e Sangue di Cristo,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35-A,2020,http://www.lachiesa.it/calendario/Detailed/20200614.shtml,https://liturgia.silvestrini.org/letture/2020-06-14.html
2020-06-19,Santissimo Cuore di Gesù,Friday,Solennità del Sacratissimo Cuore di Gesù,C36-A,2020,http://www.lachiesa.it/calendario/Detailed/20200619.shtml,https://liturgia.silvestrini.org/letture/2020-06-19.html
2020-06-21,12° D.T.O.,Sunday,XII domenica del Tempo Ordinario,C47-A,2020,http://www.lachiesa.it/calendario/Detailed/20200621.shtml,https://liturgia.silvestrini.org/letture/2020-06-21.html
2020-06-24,Natività di San Giovanni Battista,Wednesday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72-A,2020,http://www.lachiesa.it/calendario/Detailed/20200624.shtml,https://liturgia.silvestrini.org/letture/2020-06-24.html
2020-06-28,13° D.T.O.,Sunday,XIII domenica del Tempo Ordinario,C48-A,2020,http://www.lachiesa.it/calendario/Detailed/20200628.shtml,https://liturgia.silvestrini.org/letture/2020-06-28.html
2020-06-29,Santi Pietro e Paolo Apostoli,Monday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74-A,2020,http://www.lachiesa.it/calendario/Detailed/20200629.shtml,https://liturgia.silvestrini.org/letture/2020-06-29.html
2020-07-05,14° D.T.O.,Sunday,XIV domenica del Tempo Ordinario,C49-A,2020,http://www.lachiesa.it/calendario/Detailed/20200705.shtml,https://liturgia.silvestrini.org/letture/2020-07-05.html
2020-07-12,15° D.T.O.,Sunday,XV domenica del Tempo Ordinario,C50-A,2020,http://www.lachiesa.it/calendario/Detailed/20200712.shtml,https://liturgia.silvestrini.org/letture/2020-07-12.html
2020-07-19,16° D.T.O.,Sunday,XVI domenica del Tempo Ordinario,C51-A,2020,http://www.lachiesa.it/calendario/Detailed/20200719.shtml,https://liturgia.silvestrini.org/letture/2020-07-19.html
2020-07-26,17° D.T.O.,Sunday,XVII domenica del Tempo Ordinario,C52-A,2020,http://www.lachiesa.it/calendario/Detailed/20200726.shtml,https://liturgia.silvestrini.org/letture/2020-07-26.html
2020-08-02,18° D.T.O.,Sunday,XVIII domenica del Tempo Ordinario,C53-A,2020,http://www.lachiesa.it/calendario/Detailed/20200802.shtml,https://liturgia.silvestrini.org/letture/2020-08-02.html
2020-08-06,Trasfigurazione del Signore,Thursday,6 agosto: Trasfigurazione del Signore,C75-A,2020,http://www.lachiesa.it/calendario/Detailed/20200806.shtml,https://liturgia.silvestrini.org/letture/2020-08-06.html
2020-08-09,19° D.T.O.,Sunday,XIX domenica del Tempo Ordinario,C54-A,2020,http://www.lachiesa.it/calendario/Detailed/20200809.shtml,https://liturgia.silvestrini.org/letture/2020-08-09.html
2020-08-15,Assunzione della Beata Vergine Maria,Saturday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77-A,2020,http://www.lachiesa.it/calendario/Detailed/20200815.shtml,https://liturgia.silvestrini.org/letture/2020-08-15.html
2020-08-16,20° D.T.O.,Sunday,XX domenica del Tempo Ordinario,C55-A,2020,http://www.lachiesa.it/calendario/Detailed/20200816.shtml,https://liturgia.silvestrini.org/letture/2020-08-16.html
2020-08-23,21° D.T.O.,Sunday,XXI domenica del Tempo Ordinario,C56-A,2020,http://www.lachiesa.it/calendario/Detailed/20200823.shtml,https://liturgia.silvestrini.org/letture/2020-08-23.html
2020-08-30,22° D.T.O.,Sunday,XXII domenica del Tempo Ordinario,C57-A,2020,http://www.lachiesa.it/calendario/Detailed/20200830.shtml,https://liturgia.silvestrini.org/letture/2020-08-30.html
2020-09-06,23° D.T.O.,Sunday,XXIII domenica del Tempo Ordinario,C58-A,2020,http://www.lachiesa.it/calendario/Detailed/20200906.shtml,https://liturgia.silvestrini.org/letture/2020-09-06.html
