id_canti,mean_similarity,max_similarity
238,0.19,0.34
1872,0.19,0.3
2507,0.19,0.31
2768,0.19,0.29
1576,0.19,0.31
339,0.19,0.36
1352,0.19,0.33
2544,0.18,0.37
2574,0.18,0.29
2604,0.18,0.26
2642,0.18,0.33
2580,0.18,0.33
2324,0.18,0.3
2659,0.18,0.36
2484,0.18,0.56
2656,0.18,0.27
2649,0.18,0.26
2511,0.18,0.34
2283,0.18,0.31
268,0.18,0.36
2363,0.18,0.34
2436,0.18,0.33
2365,0.18,0.35
2455,0.18,0.33
2633,0.18,0.36
2271,0.18,0.28
2374,0.18,0.28
2623,0.18,0.29
2393,0.18,0.32
226,0.18,0.3
2591,0.18,0.29
2216,0.18,0.32
2005,0.18,0.28
353,0.18,0.31
1647,0.18,0.42
1746,0.18,0.36
422,0.18,0.28
425,0.18,0.35
2017,0.18,0.3
434,0.18,0.28
441,0.18,0.44
1704,0.18,0.35
449,0.18,0.29
315,0.18,0.32
1680,0.18,0.3
1678,0.18,0.33
1664,0.18,0.59
1662,0.18,0.28
2101,0.18,0.31
2109,0.18,0.26
2890,0.18,0.29
2009,0.18,0.31
1790,0.18,0.26
1873,0.18,0.3
1893,0.18,0.35
1890,0.18,0.36
1889,0.18,0.32
1882,0.18,0.32
2933,0.18,0.28
1877,0.18,0.33
1863,0.18,0.34
394,0.18,0.28
1855,0.18,0.35
1850,0.18,0.34
198,0.18,0.33
1987,0.18,0.28
1824,0.18,0.46
393,0.18,0.29
1655,0.18,0.29
2044,0.18,0.36
1639,0.18,0.31
2767,0.18,0.35
2233,0.18,0.32
2221,0.18,0.27
222,0.18,0.27
2212,0.18,0.32
1379,0.18,0.33
141,0.18,0.28
1446,0.18,0.32
2203,0.18,0.25
2197,0.18,0.29
59,0.18,0.34
2186,0.18,0.32
1549,0.18,0.26
2751,0.18,0.27
2163,0.18,0.44
303,0.18,0.36
1614,0.18,0.31
1635,0.18,0.3
1602,0.18,0.28
489,0.18,0.38
1628,0.18,0.31
1693,0.17,0.37
2376,0.17,0.31
1478,0.17,0.33
1831,0.17,0.29
1842,0.17,0.34
1682,0.17,0.35
2391,0.17,0.29
168,0.17,0.28
1623,0.17,0.38
1864,0.17,0.31
337,0.17,0.44
1685,0.17,0.32
136,0.17,0.28
188,0.17,0.28
2368,0.17,0.36
2586,0.17,0.31
126,0.17,0.36
2638,0.17,0.36
1660,0.17,0.33
2357,0.17,0.3
2620,0.17,0.29
18,0.17,0.31
17,0.17,0.3
1797,0.17,0.29
2445,0.17,0.4
1703,0.17,0.29
25,0.17,0.36
1598,0.17,0.28
2438,0.17,0.29
2437,0.17,0.4
1594,0.17,0.41
1592,0.17,0.28
1573,0.17,0.28
1572,0.17,0.3
1765,0.17,0.59
409,0.17,0.37
1781,0.17,0.32
1570,0.17,0.31
2475,0.17,0.32
1785,0.17,0.28
1787,0.17,0.36
459,0.17,0.26
1791,0.17,0.26
1687,0.17,0.39
1686,0.17,0.3
2557,0.17,0.33
2242,0.17,0.29
2546,0.17,0.37
2650,0.17,0.29
2693,0.17,0.28
1979,0.17,0.27
2333,0.17,0.36
2785,0.17,0.32
2100,0.17,0.29
28,0.17,0.31
2079,0.17,0.31
2064,0.17,0.54
1991,0.17,0.3
2038,0.17,0.28
2031,0.17,0.32
2323,0.17,0.34
2030,0.17,0.25
2666,0.17,0.32
2006,0.17,0.3
2011,0.17,0.26
2311,0.17,0.5
2012,0.17,0.28
2312,0.17,0.29
2137,0.17,0.34
2887,0.17,0.29
1942,0.17,0.31
302,0.17,0.31
2187,0.17,0.31
1940,0.17,0.29
2225,0.17,0.34
2750,0.17,0.31
2158,0.17,0.28
2209,0.17,0.29
2207,0.17,0.31
2208,0.17,0.58
2170,0.17,0.29
2569,0.16,0.29
1399,0.16,0.29
1702,0.16,0.44
267,0.16,0.23
2022,0.16,0.3
1389,0.16,0.35
1725,0.16,0.28
130,0.16,0.39
83,0.16,0.24
1741,0.16,0.3
2665,0.16,0.3
2425,0.16,0.34
2043,0.16,0.26
1543,0.16,0.32
2060,0.16,0.52
2450,0.16,0.26
1609,0.16,0.36
2578,0.16,0.25
1612,0.16,0.36
2272,0.16,0.29
2766,0.16,0.33
2772,0.16,0.24
2483,0.16,0.29
1631,0.16,0.28
2601,0.16,0.28
228,0.16,0.33
1577,0.16,0.41
2114,0.16,0.28
2281,0.16,0.3
1554,0.16,0.27
1547,0.16,0.29
2800,0.16,0.46
2148,0.16,0.38
2778,0.16,0.3
2302,0.16,0.44
235,0.16,0.32
1811,0.16,0.26
350,0.16,0.28
1934,0.16,0.26
1860,0.16,0.24
1891,0.16,0.31
2654,0.16,0.27
2381,0.16,0.43
2331,0.16,0.29
1839,0.16,0.34
2379,0.16,0.29
365,0.16,0.25
2917,0.16,0.3
1902,0.16,0.25
2922,0.16,0.29
1814,0.16,0.28
412,0.16,0.28
2639,0.16,0.29
1997,0.16,0.29
1775,0.16,0.27
293,0.16,0.28
1950,0.16,0.5
2180,0.15,0.27
1974,0.15,0.26
1553,0.15,0.23
2934,0.15,0.26
1954,0.15,0.27
2525,0.15,0.29
154,0.15,0.36
2636,0.15,0.25
5,0.15,0.34
347,0.15,0.52
1624,0.15,0.3
2195,0.15,0.3
325,0.15,0.25
2493,0.15,0.27
1604,0.15,0.28
2177,0.15,0.25
2145,0.15,0.37
2499,0.15,0.3
2630,0.15,0.33
1865,0.15,0.22
1868,0.15,0.48
1597,0.15,0.26
1561,0.15,0.23
2583,0.15,0.29
1591,0.15,0.29
1569,0.15,0.23
2373,0.15,0.25
2929,0.15,0.28
2172,0.15,1.0
1571,0.15,0.22
2164,0.15,0.24
2423,0.15,0.26
2625,0.15,0.36
2306,0.15,0.66
2861,0.15,0.28
2617,0.15,0.3
2404,0.15,0.27
2444,0.15,0.27
2615,0.15,0.25
1710,0.15,0.38
2000,0.15,0.26
2409,0.15,0.38
2130,0.15,0.25
2542,0.15,0.28
2321,0.15,0.29
2002,0.15,0.23
2603,0.15,0.3
2419,0.15,0.27
42,0.15,0.26
1764,0.15,0.25
29,0.15,0.37
379,0.15,0.24
2452,0.15,0.22
207,0.15,0.27
2237,0.15,0.28
2476,0.15,0.31
1852,0.15,0.27
487,0.15,0.24
486,0.15,0.26
247,0.15,0.55
1658,0.15,0.32
279,0.15,0.33
1666,0.15,0.29
1670,0.15,0.25
246,0.15,0.23
2456,0.15,0.29
280,0.15,0.25
290,0.15,0.3
2781,0.15,0.23
2736,0.14,0.3
324,0.14,0.28
81,0.14,0.36
319,0.14,0.28
2655,0.14,0.31
66,0.14,0.21
490,0.14,0.34
2796,0.14,0.24
2621,0.14,0.25
291,0.14,0.31
318,0.14,0.25
436,0.14,0.33
2602,0.14,0.25
314,0.14,0.24
1,0.14,0.35
1825,0.14,0.22
1993,0.14,0.21
2348,0.14,0.28
2040,0.14,0.37
2356,0.14,0.28
1747,0.14,0.31
20,0.14,0.28
1750,0.14,0.22
2378,0.14,0.28
1659,0.14,0.25
1916,0.14,0.33
2405,0.14,0.24
1595,0.14,0.25
2424,0.14,0.25
1930,0.14,0.22
2432,0.14,0.34
2433,0.14,0.27
1579,0.14,0.47
1739,0.14,0.26
2051,0.14,0.26
2063,0.14,0.25
2091,0.14,0.34
2210,0.14,0.3
2200,0.14,0.26
2255,0.14,0.31
1679,0.14,0.37
2147,0.14,0.21
2146,0.14,0.23
2274,0.14,0.26
2277,0.14,0.32
1691,0.14,0.29
2280,0.14,0.39
1643,0.14,0.28
2110,0.14,0.2
1629,0.14,0.29
1712,0.14,0.27
2322,0.14,0.33
1544,0.14,0.29
2395,0.14,0.23
1812,0.14,0.35
14,0.14,0.22
1454,0.14,0.28
1802,0.14,0.31
1833,0.14,0.45
2497,0.14,0.27
2518,0.14,0.25
19,0.14,0.24
2519,0.14,0.27
1792,0.14,0.22
2513,0.14,0.29
2470,0.14,0.44
2523,0.14,0.35
2457,0.14,0.21
2339,0.13,0.31
2789,0.13,0.24
1884,0.13,0.5
2061,0.13,0.24
2501,0.13,0.24
2801,0.13,0.21
2075,0.13,0.27
1611,0.13,0.23
1714,0.13,0.23
44,0.13,0.27
1383,0.13,0.38
2084,0.13,0.26
1874,0.13,0.21
2442,0.13,0.25
1630,0.13,0.35
2300,0.13,0.21
1566,0.13,0.26
2697,0.13,0.23
1649,0.13,0.26
2556,0.13,0.29
2267,0.13,0.67
2264,0.13,0.22
2520,0.13,0.4
1673,0.13,0.22
1832,0.13,0.25
1821,0.13,0.35
2220,0.13,0.28
2213,0.13,0.29
1830,0.13,0.24
1392,0.13,0.2
499,0.13,0.2
1886,0.13,0.25
1899,0.13,0.28
6,0.13,0.26
399,0.13,0.27
2431,0.13,0.26
397,0.13,0.29
300,0.13,0.21
401,0.13,0.25
2413,0.13,0.26
2406,0.13,0.3
1965,0.13,0.21
406,0.13,0.29
1972,0.13,0.26
2575,0.13,0.23
1980,0.13,0.24
467,0.13,0.33
2016,0.13,0.21
2350,0.13,0.39
1897,0.13,0.27
2383,0.13,0.27
1745,0.13,0.77
1796,0.13,0.28
2490,0.13,0.24
2875,0.13,0.21
2579,0.13,0.23
2362,0.13,0.39
203,0.13,0.22
2106,0.12,0.21
1921,0.12,0.19
466,0.12,0.23
1923,0.12,0.22
1962,0.12,0.2
402,0.12,0.22
403,0.12,0.35
1773,0.12,0.2
1963,0.12,0.19
2769,0.12,0.2
388,0.12,0.3
1835,0.12,0.26
2919,0.12,0.24
2776,0.12,0.24
2895,0.12,0.23
2920,0.12,0.21
2036,0.12,0.63
474,0.12,0.27
2496,0.12,0.24
2343,0.12,0.27
2335,0.12,0.26
2735,0.12,0.28
2390,0.12,0.2
241,0.12,0.24
2337,0.12,0.25
2215,0.12,0.37
2500,0.12,0.22
345,0.11,0.26
1853,0.11,0.26
2619,0.11,0.18
1599,0.11,0.22
1776,0.11,0.24
1766,0.11,0.24
2386,0.11,0.2
2372,0.11,0.34
186,0.11,0.31
1601,0.11,0.21
2358,0.11,0.23
2045,0.11,0.21
2532,0.11,0.21
2648,0.11,0.24
2927,0.11,0.19
2402,0.11,0.25
1964,0.11,0.2
1799,0.11,0.27
2610,0.11,0.23
2058,0.11,0.23
1933,0.11,0.25
2417,0.11,0.28
1928,0.11,0.23
2477,0.11,0.27
320,0.11,0.19
2584,0.11,0.27
2576,0.11,0.28
1885,0.11,0.16
1881,0.11,0.17
1878,0.11,0.42
1876,0.11,0.24
2415,0.11,0.26
465,0.11,0.19
2171,0.11,0.31
1721,0.11,0.26
2782,0.11,0.22
2127,0.11,0.2
1688,0.11,0.23
1641,0.11,0.23
1652,0.11,0.19
2318,0.11,0.2
2276,0.11,0.19
2236,0.11,0.17
2194,0.11,0.25
2307,0.1,0.21
2116,0.1,0.27
2154,0.1,0.25
2913,0.1,0.25
1684,0.1,0.22
2712,0.1,0.22
2926,0.1,0.16
1407,0.1,0.24
1697,0.1,0.26
2123,0.1,0.25
2096,0.1,0.2
1961,0.1,0.22
272,0.1,0.2
1903,0.1,0.21
1931,0.1,0.2
1586,0.1,0.26
260,0.1,0.19
396,0.1,0.32
147,0.1,0.22
2662,0.1,0.17
1910,0.1,0.26
1861,0.1,0.3
1845,0.1,0.43
220,0.1,0.2
2817,0.1,0.19
2559,0.1,0.18
2050,0.1,0.18
2336,0.1,0.21
2046,0.1,0.18
2560,0.1,0.19
1838,0.1,0.16
2041,0.1,0.22
2349,0.1,0.21
1753,0.1,0.18
2325,0.1,0.37
2184,0.1,0.19
1849,0.1,0.25
2884,0.1,0.17
1711,0.1,0.17
2364,0.1,0.18
16,0.1,0.25
2010,0.1,0.23
2635,0.1,0.21
2514,0.09,0.16
1815,0.09,0.46
2479,0.09,0.18
86,0.09,0.16
344,0.09,0.22
2492,0.09,0.25
2167,0.09,0.25
2153,0.09,0.16
2571,0.09,0.18
1412,0.09,0.36
275,0.09,0.27
496,0.09,0.16
2403,0.09,0.28
2441,0.09,0.21
2596,0.09,0.14
2652,0.09,0.21
2342,0.09,0.17
2074,0.09,0.15
1738,0.09,0.24
2657,0.09,0.21
2042,0.09,0.18
1605,0.09,0.44
2537,0.09,0.16
2092,0.09,0.2
2885,0.09,0.2
2001,0.09,0.16
1626,0.09,0.19
1995,0.09,0.29
2387,0.09,0.2
2384,0.09,0.2
2614,0.09,0.3
2140,0.09,0.18
1975,0.09,0.25
2396,0.09,0.19
2397,0.09,0.24
