id_canti,titolo,max,mean
1707,Tu sei Re,20,5.77
1864,Ecco l'uomo (Uomo della Croce - forma breve),20,8.82
2342,Osanna,20,15.0
492,Vivere la vita,20,5.02
235,Il Signore è la Luce,20,6.12
1979,Alla tua mensa,20,4.96
1862,Non Temere,19,5.38
316,Nel Tuo silenzio,19,4.93
88,Camminerò,19,5.27
292,Luce di verità,19,5.88
1554,Emmanuel tu sei,19,7.52
147,Custodiscimi,19,4.85
2229,Chiamati per nome v2,19,5.78
1665,Il nostro cuore offriamo a te,18,6.33
462,Ti seguirò,18,6.94
1961,Facciamo festa,18,5.93
2415,Quando lo spirito ,18,18.0
394,Santa Maria del cammino,18,5.2
1681,Gesù mio buon pastore,18,6.25
2242,In questo giorno di luce,18,7.17
297,Magnificat ’86,18,5.88
27,"Alleluia, cantate al Signore",18,4.86
466,Tu sei,18,4.71
302,"Maria, tu che hai atteso",18,5.22
1680,Tutta la terra attende,17,8.27
2027,Mano potente,17,6.3
260,Jesus Christ you are my life,17,5.87
179,E sono solo un uomo,17,5.7
1567,Apri i miei occhi Signore,17,5.56
1,Abbà Misericordia,17,6.17
303,"Maria, vogliamo amarti",17,5.03
2165,Prepariamo la via,17,8.33
76,Beatitudine (La preghiera di Gesù è la nostra),16,5.53
57,"Antica, eterna danza",16,4.93
2094,"Canoni - Adoramus Te, Domine",16,6.57
2169,"Cantate al Signore, alleluia",16,5.97
2193,Beatitudini,16,11.5
1544,Tu sei bambino,16,7.83
245,Insieme a Te,16,5.34
2208,Vieni Santo Spirito,16,13.75
464,Tu sarai profeta,15,6.06
339,Ora è tempo di gioia,15,6.8
1629,Ci inviti alla tua festa,15,5.0
55,Annunceremo che Tu,15,5.14
1839,Se il chicco di frumento,15,7.6
377,Rallegriamoci,15,5.25
2222,Tutto il mondo deve sapere,15,6.38
2000,O Croce Fedele ,15,6.29
1966,Nozze a Cana,15,5.33
1558,Le tue meraviglie,14,5.27
1792,Resta con noi,14,4.38
1976,Come brezza ,14,5.4
278,"Laudato sii, o mi Signore",14,5.15
1583,E' tempo di grazia,14,5.92
1943,Vieni o Spirito Creatore,14,9.5
1596,Il Figliol Prodigo (Abbracciami Gesù),14,5.42
2452,Al Santo Glorioso (Inno in onore di San Francesco di Paola),14,14.0
1659,Dammi i Tuoi Occhi,14,5.63
315,Nei cieli un grido risuonò,14,6.29
2172,Le Beatitudini,14,12.5
220,Guarda questa offerta,14,5.67
1863,Tu sei misericordia,14,4.82
2449,Al Signore canterò,14,4.24
1900,Davanti a Te,13,4.74
1383,Nel nome del Padre,13,8.0
1379,Tutto è Possibile (Nuovi Orizzonti),13,5.21
73,Beati quelli che ascoltano,13,4.82
368,Prendi la mia vita,13,4.57
2,"Abbà, Padre (ascoltami)",13,4.5
1607,Cantate al Signore,13,5.94
6,Accogli Signore i nostri doni,13,5.6
2073,L'amore del Padre,13,4.77
1838,Ora lasciateci cantare,13,7.0
347,"Pace sia, pace a voi",13,5.24
258,Io vedo la Tua luce,13,5.9
2240,Con l'offerta di Gesù,12,5.0
1793,Canzone di Maria chiara (Se non ritornerete),12,6.5
135,Come l’aurora verrai,12,5.27
188,Emmanuel,12,4.42
331,O Maestro (San Francesco),12,4.38
432,Silenzioso Dio,12,4.31
