id_liturgia,riferimento,id_canti,vector_similarity
C8-A,salmo,2140,0.4351195284045585
C8-A,seconda_lettura,227,0.6308500883674514
C8-A,seconda_lettura,295,0.5828285519474632
C8-A,seconda_lettura,2728,0.5772446120367084
C8-A,seconda_lettura,2419,0.561276665085361
C8-A,seconda_lettura,2073,0.5449221974657686
C8-A,seconda_lettura,2,0.5386497575733984
C8-A,seconda_lettura,2603,0.5374354645485158
C8-A,seconda_lettura,170,0.5374059783744748
C8-A,seconda_lettura,2534,0.5242286497812688
C8-A,seconda_lettura,1383,0.5239489088249988
C8-A,versetto,1638,0.7283536900291389
C8-A,versetto,2024,0.6579402183440893
C8-A,versetto,2273,0.636860115994524
C8-A,versetto,2897,0.6288691599102033
C8-A,versetto,1725,0.6272235567286113
C8-A,versetto,2596,0.6132927176911337
C8-A,versetto,2279,0.6092858480050303
C8-A,versetto,2063,0.6038394725620145
C8-A,versetto,2,0.5931584684306873
C8-A,versetto,2758,0.5916519203507932
C8-A,vangelo,478,0.7047281177898695
C8-A,vangelo,2827,0.6717622845976756
C8-A,vangelo,2712,0.6586296491859311
C8-A,vangelo,2164,0.6419632968127846
C8-A,vangelo,2419,0.6362737094435467
C8-A,vangelo,2229,0.6311271533953546
C8-A,vangelo,1898,0.62970285277174
C8-A,vangelo,2595,0.6267648746678247
C8-A,vangelo,2341,0.6257858558597345
C8-A,vangelo,1950,0.6224787600223777
C9-A,liturgia,2296,0.7617228062711927
C9-A,liturgia,1991,0.7496499956154188
C9-A,liturgia,2295,0.7484408718113492
C9-A,liturgia,2108,0.7447848829745831
C9-A,liturgia,2418,0.7431155856328595
C9-A,liturgia,2332,0.7400665791620747
C9-A,liturgia,22,0.7363793704073404
C9-A,liturgia,2395,0.7354824578747865
C9-A,liturgia,61,0.7346094988260048
C9-A,liturgia,184,0.7340012866139851
C9-A,prima_lettura,2603,0.6613557741312213
C9-A,prima_lettura,2078,0.6589105687733301
C9-A,prima_lettura,2110,0.6508542154369937
C9-A,prima_lettura,350,0.6492539657543217
C9-A,prima_lettura,2016,0.6433691533201586
C9-A,prima_lettura,1862,0.632831857319144
C9-A,prima_lettura,2395,0.6325970250855397
C9-A,prima_lettura,2600,0.6306504565267572
C9-A,prima_lettura,2418,0.6297082789974653
C9-A,prima_lettura,2296,0.6254262934427427
C9-A,salmo,2755,0.585231096989653
C9-A,salmo,2596,0.5814780258275992
C9-A,salmo,2063,0.5759033330361379
C9-A,salmo,2140,0.5687519522107574
C9-A,salmo,2533,0.5473777997808869
C9-A,salmo,2452,0.5320898040648
C9-A,salmo,2273,0.5279406769020302
C9-A,salmo,100,0.526232300258304
C9-A,salmo,2142,0.5253257779642143
C9-A,salmo,2303,0.5214752255105345
C9-A,seconda_lettura,2078,0.7289275670964304
C9-A,seconda_lettura,1946,0.7216617187372928
C9-A,seconda_lettura,2452,0.7167265075114203
C9-A,seconda_lettura,2603,0.7139472931782419
