id_canti,mean_text_similarity,max_text_similarity
2189,0.2,0.31
2463,0.2,0.34
2370,0.2,0.39
2674,0.2,0.37
2418,0.2,0.31
2420,0.2,0.33
2435,0.2,0.28
2451,0.2,0.37
2473,0.2,0.33
2355,0.2,0.44
2641,0.2,0.53
2478,0.2,0.37
144,0.2,0.3
13,0.2,0.31
2568,0.2,0.34
12,0.2,0.34
1582,0.2,0.34
1587,0.2,0.34
1665,0.2,0.33
2260,0.2,0.35
1663,0.2,0.32
48,0.2,0.44
1648,0.2,0.34
1646,0.2,0.35
1645,0.2,0.35
2788,0.2,0.34
2262,0.2,0.36
2743,0.2,0.32
2297,0.2,0.43
23,0.2,0.34
2308,0.2,0.27
2764,0.2,0.29
2326,0.2,0.32
2752,0.2,0.3
2858,0.2,0.35
2798,0.2,0.35
2029,0.2,0.33
1976,0.2,0.34
1892,0.2,0.3
1795,0.2,0.32
2103,0.2,0.32
1754,0.2,0.35
1986,0.2,0.4
1706,0.2,0.3
1912,0.2,0.33
1743,0.2,0.35
1913,0.2,0.33
1919,0.2,0.34
1778,0.2,0.31
1937,0.2,0.35
1767,0.2,0.36
411,0.2,0.3
288,0.2,0.64
2007,0.2,0.33
2088,0.2,0.32
1701,0.2,0.31
368,0.2,0.32
2860,0.2,0.45
352,0.2,0.36
2977,0.2,0.29
362,0.2,0.32
1760,0.19,0.28
2742,0.19,0.3
2740,0.19,0.37
2243,0.19,0.6
1574,0.19,0.34
1576,0.19,0.31
423,0.19,0.31
2721,0.19,0.47
2055,0.19,0.29
1735,0.19,0.37
2338,0.19,0.34
2028,0.19,0.32
1742,0.19,0.34
2249,0.19,0.34
503,0.19,0.35
1632,0.19,0.33
2035,0.19,0.53
419,0.19,0.33
2768,0.19,0.29
2258,0.19,0.32
1948,0.19,0.29
1621,0.19,0.32
2261,0.19,0.42
2285,0.19,0.32
1744,0.19,0.33
259,0.19,0.45
2999,0.19,0.33
1917,0.19,0.32
1945,0.19,0.34
2526,0.19,0.29
2626,0.19,0.34
2502,0.19,0.3
2507,0.19,0.31
339,0.19,0.36
2515,0.19,0.28
1872,0.19,0.3
137,0.19,0.35
67,0.19,0.31
1352,0.19,0.33
2554,0.19,0.34
1818,0.19,0.32
1841,0.19,0.37
377,0.19,0.29
2588,0.19,0.35
2480,0.19,0.3
1455,0.19,0.31
238,0.19,0.34
2658,0.19,0.53
1783,0.19,0.3
2062,0.19,0.37
1915,0.19,0.33
1909,0.19,0.33
1546,0.19,0.35
2430,0.19,0.35
1545,0.19,0.38
2462,0.19,0.34
322,0.19,0.31
2453,0.19,0.33
1896,0.19,0.38
1794,0.19,0.34
2459,0.19,0.32
2460,0.19,0.31
1731,0.19,0.33
2353,0.19,0.33
2174,0.19,0.29
2118,0.19,0.3
2108,0.19,0.36
2214,0.19,0.3
2182,0.19,0.31
2098,0.19,0.4
1656,0.19,0.32
1690,0.19,0.39
2896,0.19,0.34
2086,0.19,0.33
2115,0.19,0.34
1717,0.19,0.34
2224,0.19,0.3
3012,0.18,0.27
1790,0.18,0.26
2656,0.18,0.27
2101,0.18,0.31
2659,0.18,0.36
394,0.18,0.28
1602,0.18,0.28
1678,0.18,0.33
2324,0.18,0.3
1791,0.18,0.27
315,0.18,0.32
1549,0.18,0.25
2203,0.18,0.25
198,0.18,0.32
2751,0.18,0.27
2186,0.18,0.32
3009,0.18,0.3
268,0.18,0.36
2890,0.18,0.29
2393,0.18,0.32
2688,0.18,0.35
2649,0.18,0.26
1940,0.18,0.29
441,0.18,0.44
2374,0.18,0.28
2365,0.18,0.34
2363,0.18,0.34
2197,0.18,0.29
2436,0.18,0.34
1655,0.18,0.29
59,0.18,0.34
1680,0.18,0.3
141,0.18,0.28
2828,0.18,0.33
1379,0.18,0.33
2604,0.18,0.26
2538,0.18,0.32
1863,0.18,0.34
2544,0.18,0.37
1855,0.18,0.35
353,0.18,0.31
2558,0.18,0.3
1850,0.18,0.34
1824,0.18,0.46
2574,0.18,0.29
2580,0.18,0.33
2591,0.18,0.29
1873,0.18,0.3
2511,0.18,0.34
1877,0.18,0.33
1890,0.18,0.36
1664,0.18,0.59
2455,0.18,0.33
1704,0.18,0.35
1893,0.18,0.35
2109,0.18,0.26
2642,0.18,0.33
393,0.18,0.29
2629,0.18,0.3
1889,0.18,0.32
2163,0.18,0.44
2484,0.18,0.56
1882,0.18,0.32
1446,0.18,0.32
2633,0.18,0.36
1987,0.18,0.28
303,0.18,0.36
449,0.18,0.29
1644,0.18,0.46
2233,0.18,0.32
2017,0.18,0.3
434,0.18,0.28
489,0.18,0.38
1746,0.18,0.36
1635,0.18,0.3
2005,0.18,0.28
425,0.18,0.35
226,0.18,0.3
2283,0.18,0.31
2212,0.18,0.32
1614,0.18,0.31
2221,0.18,0.27
2044,0.18,0.36
2009,0.18,0.31
1639,0.18,0.31
222,0.18,0.27
422,0.18,0.28
1628,0.18,0.32
1647,0.18,0.41
2216,0.18,0.32
2767,0.18,0.35
2271,0.17,0.28
409,0.17,0.37
25,0.17,0.36
2650,0.17,0.29
2170,0.17,0.29
2623,0.17,0.29
1831,0.17,0.29
2012,0.17,0.28
1478,0.17,0.33
2011,0.17,0.26
2391,0.17,0.29
1781,0.17,0.32
459,0.17,0.25
3021,0.17,0.28
2693,0.17,0.28
1682,0.17,0.35
